iso3,country,region,n_ops,operators,avg_10gb,per_gb,pct_income,unlim_yes,unlim_throttled,unlim_no,avg_unlimited_price,fiveg_share,fup_summary,gni,gni_note,gdp,bigmac,price_bigmacs,pop
HND,Honduras,North America,3,Tigo | Claro | Hondutel,9.33,0.933,3.71,0,100,0,26.67,0,Fair use reduction after bundle; threshold not published - VERIFY ;; Fair use: reduced speed after included high-speed bucket; threshold not published - VERIFY ;; Politica de uso justo: reduced speed after included data; threshold not published - VERIFY,3020.0,wb,3416.0,5.19,1.798,10.8
COD,DR Congo,Africa,3,Airtel DRC | Orange DRC | Vodacom DRC,9.31,0.931,16.44,33,0,67,,0,none ;; not published,680.0,wb,693.0,,,109.0
CHL,Chile,South America,3,Entel | Movistar | WOM,9.2,0.92,0.7,0,67,33,18.75,100,Plan Libre: datos libres con video limitado a SD480p o tasa maxima1 Mbps y musica en calidad estandar — solo en Chile (texto publicado en entel.cl/comparador-de-planes) ;; Plan Libre: tras consumir los GB en alta velocidad la velocidad de bajada baja hasta128Kb/s en lugares y horarios de alto trafico (tambien hasta512kbps en las bolsas prepago) — texto publicado en movistar.cl ;; sin oferta ilimitada captada: planes por bolsa (Plan W450GB CLP10.990 · Plan O800GB CLP13.990 · Plan M Gigas Libres CLP18.990); politica post-bolsa no publicada,15840.0,wb,16659.0,5.41,1.701,20.0
GIN,Guinea,Africa,2,Orange Guinea | MTN Guinea,9.1,0.91,7.58,0,0,50,,0,? ;; none,1440.0,wb,1695.0,,,15.0
CIV,Côte d'Ivoire,Africa,3,Orange Côte d'Ivoire | MTN Côte d'Ivoire | Moov Africa Côte d'Ivoire,8.74,0.874,4.16,0,0,100,,100,none,2520.0,wb,2728.0,,,32.0
NER,Niger,Africa,3,Moov Africa Niger | Orange Niger | Airtel Niger,8.74,0.874,15.65,0,0,33,,0,? ;; none,670.0,wb,730.0,,,27.0
MLI,Mali,Africa,2,Orange Mali | Malitel (Moov Africa Mali),8.74,0.874,10.18,0,0,50,,0,? ;; none,1030.0,wb,1093.0,,,24.0
HTI,Haiti,North America,3,Digicel | Natcom | Haitel,8.67,0.867,6.01,0,100,0,31.0,0,Fair use: reduced speed after included data; threshold not published - VERIFY,1730.0,wb,2060.0,,,12.0
ARG,Argentina,South America,3,Personal | Claro | Movistar,8.39,0.839,0.74,0,100,0,23.32,100,Claro AR: ilimitado con FUP (uso razonable); umbral no capturado — knowledge ;; Movistar AR: ilimitado con FUP (uso razonable); umbral no capturado — knowledge ;; Personal: ilimitado con FUP de uso razonable (umbral no capturado — knowledge); planes por bolsa en el sitio,13530.0,wb,13970.0,5.91,1.42,46.0
DOM,Dominican Republic,North America,3,Claro | Altice | Viva,8.33,0.833,0.97,0,100,0,25.67,0,Fair use: reduced speed after included data; threshold not published - VERIFY ;; Politica de uso justo: reduced speed after included high-speed data; threshold not published - VERIFY,10310.0,wb,10876.0,,,11.0
PER,Peru,South America,3,Movistar | Claro | Bitel,8.32,0.832,1.33,0,33,67,11.85,67,Plan Ilimitado S/39.90: datos 5G ilimitados con45GB en alta velocidad (110GB por portabilidad) y luego velocidad reducida; acumula hasta1.000GB — texto publicado en bitel.com.pe ;; sin oferta ilimitada publicada en claro.com.pe: planes por bolsa (HFC/FTTH) — knowledge ;; sin oferta ilimitada publicada: mayor plan captado Maximo125GB; planes por bolsa (knowledge),7530.0,wb,8526.0,4.99,1.667,34.0
ZAF,South Africa,Africa,3,Vodacom | MTN South Africa | Cell C,8.3,0.83,1.63,0,67,33,133.0,67,FUP applies - threshold not published ;; none ;; throttle to2-4Mbps after FUP threshold (varies by plan),6110.0,wb,6267.0,3.49,2.378,63.0
POL,Poland,Europe,3,Orange Polska | Play | T-Mobile Polska,7.8,0.78,0.43,67,33,0,17.77,100,truly unlimited in Poland - EU roaming fair-use 25 GB per 30 days then surcharge ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB per 30 days ;; unlimited but throttled to 3 Mbps after 200 GB of high-speed use per fair-use,21590.0,wb,25104.0,6.22,1.254,37.0
NIC,Nicaragua,North America,3,Claro | Tigo | Cootel,7.67,0.767,3.67,0,100,0,23.33,0,Bundle-based; threshold not published - VERIFY ;; Fair use: reduced speed after included data; threshold not published - VERIFY ;; Politica de uso justo: reduced speed after included data; threshold not published - VERIFY,2510.0,wb,2848.0,5.11,1.5,7.0
SVK,Slovakia,Europe,3,Orange Slovensko | Slovak Telekom | O2 Slovakia,7.63,0.763,0.39,100,0,0,21.1,67,truly unlimited - EU roaming fair-use 25 GB per 30 days ;; truly unlimited data but delivered on 4G only until O2 5G launch ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB,23560.0,wb,25993.0,,,5.4
SEN,Senegal,Africa,3,Orange Sénégal | Yas Sénégal | Expresso Sénégal,7.58,0.758,5.58,0,0,100,,33,none,1630.0,wb,1739.0,,,18.0
BIH,Bosnia and Herzegovina,Europe,3,BH Telecom | m:tel Bosnia and Herzegovina | HT ERONET,7.44,0.744,1.01,0,67,33,17.0,0,fair-use threshold not published ;; fair-use threshold not published - heavy users throttled ;; no domestic unlimited tariff - bundle ladder only (10GB/BAM 15/10d and 30GB/BAM 35/30d),8810.0,wb,9398.0,,,3.2
ALB,Albania,Europe,3,ONE Albania (ex-Telekom) | Vodafone Albania | ALBtelecom (Eagle),7.27,0.727,0.88,100,0,0,21.4,100,fair-use clause,9910.0,wb,11374.0,,,2.8
CZE,Czechia,Europe,3,O2 Czech Republic | T-Mobile Czech Republic | Vodafone Czech Republic,7.23,0.723,0.29,67,33,0,21.07,100,truly unlimited - tethering allowed - EU roaming fair-use 25 GB ;; truly unlimited in Czechia - EU roaming fair-use 25 GB per 30 days ;; unlimited but reduced to 256 kbps once the 200 GB fair-use allowance is used,29570.0,wb,31828.0,5.43,1.332,10.9
MNG,Mongolia,Asia,3,Mobicom | Unitel | Skytel,7.2,0.72,1.61,0,0,100,,100,no verified unlimited offer ;; no verified unlimited offer - large daily/monthly packs instead,5380.0,wb,6751.0,,,3.5
EST,Estonia,Europe,3,Telia Eesti | Elisa Eesti | Tele2 Estonia,7.0,0.7,0.29,100,0,0,18.9,100,truly unlimited - Baltic and EU roaming fair-use 25 GB per 30 days ;; truly unlimited in Estonia - EU roaming fair-use 25 GB ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB,28880.0,wb,31428.0,,,1.4
THA,Thailand,Asia,3,AIS | TrueMove H | dtac,6.95,0.695,1.17,67,33,0,19.68,100,truly unlimited - official 'Unlimited Data Max Speed' on 30/60-day packs ;; truly unlimited at max speed (ULM ฿399/30d); speed-capped variants e.g. 15Mbps with 50GB then 1Mbps ;; unlimited capped from the start - NET NO LIMIT = 2Mbps (base 1Mbps; 8Mbps/day add-on ฿32); 50GB at 6Mbps then 384kbps,7130.0,wb,7387.0,4.02,1.729,72.0
RWA,Rwanda,Africa,2,MTN Rwanda | Airtel Rwanda,6.9,0.69,7.74,0,0,100,,0,none,1070.0,wb,1060.0,,,14.0
AFG,Afghanistan,Asia,3,Afghan Wireless Communication Company (AWCC) | Roshan (Telecom Development Company) | Etisalat Afghanistan,6.82,0.682,20.98,0,0,100,,0,no unlimited offer published - bundles are volume-capped and expire after 7/30 days ;; no unlimited offer published - largest monthly bundle approx 10GB with expiry ;; no unlimited offer published - prepaid packs are volume-capped with 7/30-day validity,390.0,wb,417.0,,,43.0
TUR,Turkey,Asia,3,Turkcell | Vodafone Turkey | Turk Telekom,6.7,0.67,0.6,0,100,0,16.22,0,'sinirsiz' (unlimited) mobile packs carry no volume cap but are speed-shaped per plan (typically 25-100 Mbps ceiling) - heavy-use shaping applies ;; 'sinirsiz' packs are speed-shaped per plan - no published monthly volume cap but fair-use shaping on heavy traffic ;; 'sinirsiz' packs are speed-shaped per plan rather than volume-capped - 4.5G ceiling applies to heavy users,13430.0,wb,15893.0,6.91,0.969,87.0
BGR,Bulgaria,Europe,3,A1 Bulgaria | Vivacom | Yettel Bulgaria,6.7,0.67,0.52,100,0,0,14.4,67,truly unlimited - tethering permitted - EU roaming fair-use 25 GB ;; truly unlimited in Bulgaria - EU roaming fair-use 25 GB per 30 days ;; truly unlimited on 4G - no 5G speed uplift yet,15370.0,wb,17597.0,,,6.4
MKD,North Macedonia,Europe,3,Makedonski Telekom | ONE Macedonia | A1 Macedonia,6.55,0.655,0.95,100,0,0,20.57,100,fair-use clause,8300.0,wb,9292.0,,,1.8
EGY,Egypt,Africa,4,Vodafone Egypt | e& Egypt (Etisalat) | Orange Egypt | Telecom Egypt (WE),6.52,0.652,2.23,0,0,100,,0,none - all Egypt plans hard-cap and cut off ;; none - all Egypt plans hard-cap and cut off (no throttled unlimited),3510.0,wb,3338.0,2.87,2.272,116.0
AZE,Azerbaijan,Asia,3,Azercell Telecom | Bakcell | Nar Mobile,6.47,0.647,1.06,0,33,67,14.71,0,'Unlimited' category packs apply fair use - reduced speed after the quota (published alongside daily/weekly/high-volume packs) ;; no true unlimited published - monthly packs volume-capped (60GB month pack approx AZN 24.90) ;; no true unlimited published - monthly packs volume-capped (Serfeli tariffs approx AZN 11 per 28 days),7340.0,wb,7295.0,4.26,1.519,10.4
LVA,Latvia,Europe,3,LMT | Tele2 Latvia | Bite Latvija,6.43,0.643,0.36,100,0,0,16.87,100,truly unlimited - Baltic and EU roaming fair-use 25 GB per 30 days ;; truly unlimited in Latvia - Baltics bundle plus EU fair-use 25 GB ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB,21520.0,wb,23579.0,,,1.9
BOL,Bolivia,South America,3,Entel | Tigo | Nuevatel (Vivo),6.43,0.643,1.86,33,0,67,24.64,33,"""Megas Ilimitados"" incluidos en Plan Full Tigo (Bs249-439 convergente) y como add-on por Bs20 con internet fijo — textos publicados en tigo.com.bo; FUP del ilimitado movil no publicado ;; sin oferta ilimitada movil publicada — el producto ""Navegar sin Cortes"" de entel.bo corresponde a internet fijo ;; sin oferta ilimitada publicada (Nuevatel/Vivo enfocado en movil 4G)",4160.0,wb,4421.0,,,12.0
COL,Colombia,South America,3,Claro | Movistar | Tigo,6.41,0.641,1.08,100,0,0,28.33,100,Datos ilimitados dentro del Plan Full Tigo convergente (internet 500M + TV) desde COP119.900; FUP domestico del ilimitado movil standalone no publicado ;; Movistar CO: plan pospago ilimitado citado en movistar.com.co; precio y umbral FUP no capturados (404 en /planes-pospago) ;; Plan LIBRE COP99.900/mes: datos ilimitados con compartir hasta70GB a otras lineas (tethering) — texto publicado en claro.com.co; los factores de limitacion solo estan en su pagina JS,7090.0,wb,7951.0,8.0,0.801,53.0
SRB,Serbia,Europe,3,Telekom Srbija (mts) | A1 Srbija | Yettel Serbia,6.39,0.639,0.66,100,0,0,21.95,100,fair-use - domestic unlimited with a capped EU allotment ;; fair-use clause,11610.0,wb,13678.0,,,6.6
BRA,Brazil,South America,3,Vivo | Claro | TIM,6.3,0.63,0.76,0,67,33,22.4,100,Ilimitado com FUP: tras la cota de alta velocidad cae la velocidad (umbral exacto no capturado — knowledge) ;; Ilimitado con FUP (uso razonable) de Claro BR: umbral de reducción no capturado — knowledge ;; sin oferta de datos ilimitados publicada: planes por bolsa TIM Pre 16GB · TIM Controle 45GB · TIM Black110GB · Black Familia Premium170GB,9930.0,wb,10311.0,4.71,1.338,212.0
HUN,Hungary,Europe,3,Magyar Telekom | Yettel Hungary | Vodafone Hungary,6.17,0.617,0.36,100,0,0,15.77,100,truly unlimited - SD video default with HD available by add-on ;; truly unlimited data - modem/router use as fixed-line substitute prohibited in ToS ;; unlimited but no tethering - personal hotspot excluded from the unlimited bundle,20800.0,wb,23305.0,5.3,1.164,9.6
ARM,Armenia,Asia,3,Viva Armenia (VivaCell-MTS) | Ucom | Team Telecom Armenia (Beeline),6.13,0.613,0.94,33,33,33,10.85,0,BeeFree packs give unlimited only for listed apps (Viber WhatsApp Messenger Zangi Telegram BeeTV Zoom - YouTube TikTok Instagram on top tiers) - everything else draws from the data bundle ;; no true unlimited published - monthly packs are volume-capped ;; no volume cap published - unlimited internet is bundled into Unity convergent packages (business 'Universal 8000' listed with unlimited*),7810.0,wb,8556.0,,,3.0
ROU,Romania,Europe,3,Digi Mobile | Orange România | Vodafone România,5.97,0.597,0.41,100,0,0,10.53,67,truly unlimited - EU roaming fair-use 25 GB per 30 days ;; truly unlimited - EU roaming fair-use 25 GB then reduced speed ;; truly unlimited with no data cap - tethering permitted,17600.0,wb,20080.0,4.01,1.488,19.0
GEO,Georgia,Asia,3,MagtiCom | Cellfie (ex-Beeline Georgia) | Silknet (Geocell),5.93,0.593,0.9,33,33,33,11.3,67,after 50000 MB of high-speed data the speed is reduced to 5 Mbps (25000 MB on the 15-day pack) ;; no true unlimited published - monthly packages are volume-capped ;; no volume cap published - 'ulimito' 30-day unlimited pack sold at 26 GEL (14-day pack also available),7870.0,wb,8968.0,,,3.8
LTU,Lithuania,Europe,3,Telia Lietuva | Bite Lietuva | Tele2 Lithuania,5.83,0.583,0.26,100,0,0,15.67,100,truly unlimited - tethering allowed - EU roaming fair-use 25 GB ;; truly unlimited across the Baltics - EU roaming fair-use 25 GB ;; truly unlimited in Lithuania - Baltic bundle plus EU roaming fair-use 25 GB,27110.0,wb,29604.0,,,2.9
ETH,Ethiopia,Africa,2,Ethio Telecom | Safaricom Ethiopia,5.4,0.54,5.89,0,0,100,,0,none,1100.0,wb,1134.0,,,132.0
MMR,Myanmar,Asia,3,MPT | Mytel | Ooredoo Myanmar,5.33,0.533,5.29,0,33,67,15.24,0,no verified unlimited product ;; no verified unlimited product (MPT Dome Pyan is the market benchmark) ;; unlimited sold as speed-capped tiers: 15Mbps ₭32000 / 22Mbps ₭40000 / 30Mbps ₭54000 / 60Mbps ₭100000 / 110Mbps ₭135000 per month,1210.0,wb,1359.0,,,54.0
LAO,Laos,Asia,3,Lao Telecom | Unitel | ETL,5.18,0.518,3.11,0,0,100,,67,none - only app-specific 'Unlimited Social' packs (₭10000) ;; none - pay-per-use 300 kip/MB after package quota (hard cut rather than throttle) ;; none published,2000.0,wb,2124.0,,,7.8
KEN,Kenya,Africa,3,Safaricom | Airtel Kenya | Telkom Kenya,5.1,0.51,2.96,0,0,100,,67,none,2070.0,wb,2133.0,,,56.0
RUS,Russia,Europe,3,MTS | MegaFon | Beeline,4.97,0.497,0.39,67,33,0,7.9,100,truly unlimited - hotspot allowed on handset but modem/router use capped at one device in ToS ;; truly unlimited domestic 4G/5G with no hard cap - congested-cell deprioritisation only ;; unlimited data but speed-tiered profiles 3-25 Mbps so full speed is never included,15330.0,wb,14962.0,,,144.0
TJK,Tajikistan,Asia,3,Tcell | Babilon-Mobile | ZET Mobile,4.79,0.479,3.48,0,100,0,9.57,67,unlimited bundles reduce speed after the published fair-use quota,1650.0,wb,1362.0,,,10.6
KGZ,Kyrgyzstan,Asia,3,Beeline Kyrgyzstan (Sky Mobile) | O! (Nur Telecom) | MegaCom,4.6,0.46,2.44,0,100,0,12.26,0,unlimited bundles throttle to a low floor rate (128-256 Kbit/s class) after fair-use volume ;; unlimited bundles throttle to a low floor rate after fair-use volume,2260.0,wb,2515.0,,,7.2
ZMB,Zambia,Africa,3,Zamtel | Airtel Zambia | MTN Zambia,4.43,0.443,4.47,0,33,67,,0,none ;; unlimited cap not disclosed - throttled after hidden threshold,1190.0,wb,1187.0,,,21.0
GHA,Ghana,Africa,3,MTN Ghana | Telecel Ghana | AirtelTigo,4.33,0.433,2.3,0,0,100,,33,none,2260.0,wb,2419.0,,,34.0
BLR,Belarus,Europe,3,A1 Belarus | MTS Belarus | life:),4.3,0.43,0.62,67,33,0,7.7,0,truly unlimited - tethering allowed - no 5G so speeds are 4G-class only ;; truly unlimited with no hard cap - fair-use bars resale and router use ;; unlimited but throttled to 1 Mbps after the monthly high-speed bucket,8380.0,wb,8606.0,,,9.1
MDA,Moldova,Europe,3,Orange Moldova | Moldcell | Moldtelecom (Unite),4.2,0.42,0.73,67,0,33,8.85,100,no unlimited handset plan published - largest bundle 100 GB per 30 days ;; truly unlimited - EU roaming fair-use 25 GB per 30 days ;; truly unlimited on the national LTE and 5G network,6890.0,wb,7579.0,4.56,0.921,3.0
TLS,Timor-Leste,Asia,3,Timor Telecom | Telemor | Telkomcel,4.0,0.4,2.91,0,0,100,,0,no unlimited offer - largest prepaid is POWER PLUS 160GB/30d $20 ;; no unlimited offer published,1650.0,wb,1332.0,,,1.4
KAZ,Kazakhstan,Asia,3,Kcell | Beeline Kazakhstan | Tele2 Kazakhstan,3.79,0.379,0.38,0,67,33,20.77,67,'Unlimited by full' runs in 5G/4G/3G then drops to 128-256 Kbit/s after the fair-use volume ;; no single-line unlimited - family unlimited from KZT 12000 (Premium Family x4/x6) with the same 100-200GB then 128-256 Kbit/s pattern ;; unlimited/MAX offers are fair-used - speed falls to 128-256 Kbit/s after roughly 100-200GB,12100.0,wb,14155.0,,,21.0
NPL,Nepal,Asia,3,Ncell | Nepal Telecom (NTC) | SmartCell (Smart Telecom),3.78,0.378,3.07,0,0,100,,0,no unlimited offer published - monthly packs are volume-capped,1480.0,wb,1460.0,,,30.0
CHN,China,Asia,3,China Mobile | China Unicom | China Telecom,3.61,0.361,0.32,0,100,0,8.31,100,general data then 3Mbps (达量降速) ;; general data then 3Mbps (达量降速); no true unlimited,13660.0,wb,13293.0,3.91,0.924,1419.0
VNM,Vietnam,Asia,3,Viettel | VinaPhone (VNPT) | MobiFone,3.57,0.357,0.95,0,0,100,,100,no general unlimited - data cut after quota; app-specific unlimited packs only ;; none - data cut off after quota (BIG90 hết dung lượng ngắt kết nối) ;; none - quota cut-off; app-unlimited packs only,4490.0,wb,4717.0,2.89,1.234,101.0
UKR,Ukraine,Europe,3,Kyivstar | Vodafone Ukraine | lifecell,3.52,0.352,0.81,100,0,0,6.67,0,truly unlimited domestic data with no speed cap - no 5G so 4G ceiling applies ;; truly unlimited on 4G - video and social packs handled as separate bundles in ToS ;; truly unlimited with tethering allowed - roaming outside Ukraine limited by fair-use,5230.0,wb,5392.0,3.34,1.053,38.0
KHM,Cambodia,Asia,3,Cellcard | Smart Axiata | Metfone,3.33,0.333,1.57,0,0,100,,33,none published - quota packs 10-20GB/30d for $2-3 ;; none published - quota packs 10-30GB/30d for $3-5 ;; none published - quota packs ~8-25GB/30d for $2-5,2550.0,wb,2628.0,,,18.0
BGD,Bangladesh,Asia,3,Grameenphone (GP) | Robi Axiata | Banglalink,3.33,0.333,1.42,0,0,100,,0,no unlimited offer published - largest monthly packs are volume-capped (40-80GB class) ;; no unlimited offer published - monthly packs are volume-capped,2820.0,wb,2593.0,,,174.0
NGA,Nigeria,Africa,3,MTN Nigeria | Airtel Nigeria | Glo (Globacom),3.19,0.32,2.24,0,67,33,15.04,67,150GB then 2GB/day at lower speed ;; 40GB then 256Kbps ;; none,1710.0,wb,1084.0,,,233.0
PHL,Philippines,Asia,3,Globe | PLDT (Smart) | DITO,3.14,0.314,0.84,0,67,33,14.46,100,10GB/day up to 500Mbps then 5Mbps at 80% reliability (refreshes 12:00am) ;; app-only unlimited (UnliGo) that throttles after threshold; no general unlimited ;; speeds managed - official text 'data speeds may vary to ensure continuous service' (no published GB threshold),4470.0,wb,3985.0,2.74,1.146,116.0
IDN,Indonesia,Asia,3,Telkomsel | Indosat (IM3) | XL (AXIS),3.07,0.307,0.75,0,100,0,3.99,100,FUP: speed drops after fair-use quota on unlimited packs; Limitless = app-only unlimited ;; FUP: speed falls after fair-use quota on unlimited (XL publishes FUP mechanics) ;; unlimited packs carry local-quota caps (up to 36GB local quota) then reduced speed,4920.0,wb,4925.0,2.38,1.289,283.0
UZB,Uzbekistan,Asia,3,Ucell (COSCOM) | Beeline Uzbekistan | Mobiuz,3.05,0.305,1.15,0,33,67,10.85,67,'UNLIM MIX' unlimited covers social networks and messengers only - 'tungi UNLIM' is unlimited only 01:00-07:00 - rest comes from the bundle ;; no full-price unlimited - 'unlimited weekend' (Sat-Sun) and 'unlimited night' (01:00-07:00) ride inside capped Bor tariffs ;; no full-price unlimited - night/weekend unlimited add-ons and zero-rated social bundles only,3170.0,wb,3337.0,,,36.0
BTN,Bhutan,Asia,2,Bhutan Telecom (B-Mobile) | TashiCell (Tashi InfoComm),2.3,0.23,0.71,0,0,100,,50,no unlimited offer published - monthly data packs are volume-capped ;; no unlimited offer published - monthly packs are volume-capped,3910.0,wb,4228.0,,,0.79
LKA,Sri Lanka,Asia,3,Dialog Axiata | Mobitel (SLT-Mobitel) | Hutch Sri Lanka,2.0,0.2,0.62,0,0,100,,0,no true unlimited prepaid - monthly packs are volume-capped ;; no true unlimited prepaid - monthly packs are volume-capped (night unlimited add-ons only) ;; no true unlimited prepaid - monthly packs are volume-capped (unlimited only on postpaid with throttling),3870.0,wb,4545.0,,,22.0
PAK,Pakistan,Asia,3,Jazz (Pakistan Mobile Communications) | Zong (CMPak) | Ufone (PTCL Group),1.61,0.161,1.35,0,33,67,3.57,0,monthly 'unlimited' bundles reduce speed to a low floor (1-2Mbps class) after the fair-use volume ;; no true unlimited published - largest monthly bundles are volume-capped (50-100GB class) ;; no true unlimited published - monthly bundles are volume-capped,1430.0,wb,1479.0,3.89,0.414,251.0
IND,India,Asia,3,Reliance Jio | Bharti Airtel | Vi (Vodafone Idea),1.21,0.121,0.57,100,0,0,3.78,67,truly unlimited - published fair usage 1.5TB per billing cycle after which speed drops to 3Mbps on 5G unlimited plans ;; truly unlimited 1.5GB/day - where 5G is live the unlimited 5G fair usage is 1.5TB/month then 3Mbps ;; unlimited plans sold as unlimited with daily FUP 1.5GB/day then 64kbps - 5G 'truly unlimited' carries monthly FUP of 1.5TB then 3Mbps,2550.0,wb,2592.0,2.45,0.494,1451.0
IRN,Iran,Asia,3,MTCI (Hamrah-e-Aval) | Irancell (MTN Irancell) | Rightel,1.14,0.114,0.27,0,100,0,2.0,0,packs marketed 'binahayat' (unlimited) reduce speed to a floor rate after the published fair-use quota ;; unlimited monthly packs throttle to a reduced speed after fair-use volume (typically 100GB+) ;; unlimited packs carry a fair-use volume after which speed is cut to the floor rate,5130.0,wb,5190.0,,,92.0
BDI,Burundi,Africa,1,Lumitel,,,,100,0,0,4.6,0,threshold not published,250.0,wb,216.0,,,14.0
BWA,Botswana,Africa,3,Mascom Wireless | Orange Botswana | beMOBILE (BTC),,,,0,0,100,,33,none,7610.0,wb,7650.0,,,2.5
ERI,Eritrea,Africa,1,EriTel,,,,0,0,100,,0,none,650.0,wb,,,,3.6
MWI,Malawi,Africa,2,TNM | Airtel Malawi,,,,0,0,100,,0,none,570.0,wb,522.0,,,22.0
MUS,Mauritius,Africa,2,Mauritius Telecom (Orange) | Emtel,,,,0,0,100,,0,none,12960.0,wb,11991.0,,,1.3
SYC,Seychelles,Africa,2,Airtel Seychelles | Cable & Wireless Seychelles,,,,0,0,100,,0,none,17700.0,wb,18365.0,,,0.13
SSD,South Sudan,Africa,1,Zain South Sudan,,,,0,0,100,,0,none,400.0,wb,,,,12.0
SWZ,Eswatini,Africa,2,MTN Eswatini | Eswatini Mobile,,,,0,0,100,,50,none,3440.0,wb,3910.0,,,1.2
MRT,Mauritania,Africa,5,Moov Mauritel | Chinguitel | Mattel (Mauritania Telecom) | Mauritel | Mattel,,,,0,0,40,,0,? ;; not verified this pass,2110.0,wb,2105.0,,,5.2
GNB,Guinea-Bissau,Africa,2,Orange Guinea-Bissau | MTN Guinea-Bissau,,,,0,0,0,,0,?,980.0,wb,998.0,,,2.2
LBR,Liberia,Africa,3,Lonestar Cell (MTN Liberia) | Orange Liberia | Novafone,,,,0,0,0,,0,?,750.0,wb,851.0,,,5.6
CAF,Central African Republic,Africa,2,Orange RCA | Telecel Centrafrique,,,,0,0,0,,0,?,510.0,wb,516.0,,,5.7
STP,São Tomé and Príncipe,Africa,2,CST | Unitel STP,,,,0,0,0,,0,?,2910.0,wb,3503.0,,,0.24
JOR,Jordan,Asia,3,Orange Jordan | Zain Jordan | Umniah,,,,0,0,100,,0,not verified this pass,4880.0,wb,5074.0,3.53,,11.0
MAR,Morocco,Africa,3,Maroc Telecom (IAM) | Orange Morocco | inwi,,,,0,100,0,,0,bit adjusted on excessive data usage (threshold not published) ;; illimité recharge throttled after undisclosed threshold (not verified this pass) ;; not verified this pass,3840.0,wb,4153.0,,,38.0
DZA,Algeria,Africa,3,Mobilis | Djezzy (Optimum) | Ooredoo Algérie,,,,0,0,100,,0,not verified this pass,5370.0,wb,5753.0,,,47.0
TUN,Tunisia,Africa,3,Tunisie Telecom | Orange Tunisia | Ooredoo Tunisia,,,,0,0,100,,0,not verified this pass,3880.0,wb,4188.0,,,12.0
IRQ,Iraq,Asia,3,Zain Iraq | Asiacell | Korek Telecom,,,,0,0,100,,0,not verified this pass,6030.0,wb,6074.0,,,46.0
LBN,Lebanon,Asia,2,touch | Alfa,,,,0,0,100,,0,not verified this pass,3560.0,wb,4473.0,5.36,,5.5
PSE,Palestine,Asia,2,Jawwal | Ooredoo Palestine,,,,0,0,100,,0,not verified this pass,2980.0,wb,3028.0,,,5.5
LBY,Libya,Africa,2,Libyana | Almadar Al Jadid,,,,0,0,100,,0,not verified this pass,6790.0,wb,6569.0,,,7.4
SDN,Sudan,Africa,3,Sudani (Sudatel) | Zain Sudan | MTN Sudan,,,,0,0,100,,0,not verified this pass,710.0,wb,985.0,,,50.0
YEM,Yemen,Asia,3,Yemen Mobile | Spacetel | SabaFon,,,,0,0,100,,0,not verified this pass,600.0,wb,,,,41.0
SYR,Syria,Asia,2,Syriatel | MTN Syria,,,,0,0,100,,0,not verified this pass,720.0,wb,1057.0,,,25.0
SOM,Somalia,Africa,3,Hormuud | Somtel | Telesom,,,,0,0,100,,0,not verified this pass,620.0,wb,630.0,,,19.0
COM,Comoros,Africa,1,Comores Telecom,,,,0,0,100,,0,not verified this pass,1730.0,wb,1858.0,,,0.87
DJI,Djibouti,Africa,1,Djibouti Telecom,,,,0,0,100,,0,not verified this pass,3640.0,wb,3553.0,,,1.1
PRK,North Korea,Asia,1,Koryolink,,,,0,0,100,,0,no public tariff disclosure,1800.0,wb,,,,26.0
KIR,Kiribati,Oceania,2,Vodafone Kiribati | OceanLink (OceanCell),,,,0,0,100,,0,no unlimited offered,3580.0,wb,2551.0,,,0.13
FSM,Micronesia,Oceania,1,FSM Telecommunications Corp,,,,0,0,100,,0,no unlimited offered,4490.0,wb,4252.0,,,0.12
